"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACR","AGS","BATH","BDSP","BLD","BUS","CONP","ELEP","FS","FULP","GASP","HFL","INSP","MHP","MRGI","MRGP","MRGT","MRGX","REFR","RMSP","RNTM","RNTP","RWAT","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FINCP","FPARC","GRNTP","GRPIP","HHL","HHT","HINCP","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","NR","NRC","OCPIP","PARTNER","PLM","PSF","R18","R60","R65","RESMODE","SMOCP","SMX","SRNT","SVAL","TAXP","WIF","WKEXREL","WORKSTAT","BTUNG"
122185,"H",5,900,3,13,1000000,999480,95,4,1,2,1,1,3,2,2,0,130,1,2,3,6,250,0,0,0,0,3,1,6,0,0,1,1,0,1,1,2,1,0,139000,4,500,7,4,19100,4,0,0,1,1,19100,0,4,4,4,1,1,1,5,0,4,0,0,0,14,0,1,1,0,2,2,1,226,0,0,1,10,2,6,9,0
122193,"H",5,2900,3,13,1000000,999480,52,4,1,2,1,1,3,2,2,0,140,2,2,3,3,900,0,1,890,1,1,1,7,0,0,1,1,50,1,1,1,1,0,250000,2,2,7,1,123500,2,0,0,1,1,123500,0,3,3,3,1,1,1,5,2,4,0,0,2,10,0,1,0,1,0,0,1,1080,2,0,1,26,2,2,1,0
122252,"H",5,300,3,13,1000000,999480,335,3,1,2,1,1,4,2,2,0,260,1,2,3,6,0,0,0,0,0,0,1,6,0,0,1,1,0,1,1,4,1,0,0,3,2,6,1,11000,2,0,0,1,1,11000,0,2,2,2,1,1,1,6,1,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,8,2,0
122259,"H",5,2900,3,13,1000000,999480,299,3,1,0,0,1,2,7,0,0,80,2,2,3,3,0,0,0,0,0,0,1,4,2,530,1,1,0,1,1,3,1,0,0,1,1,4,0,0,0,610,24,1,5,31000,0,4,4,4,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0
122555,"H",5,4100,3,13,1000000,999480,22,1,1,1,0,1,3,2,2,0,40,2,2,3,3,650,0,0,0,0,3,1,7,0,0,1,1,0,1,1,2,1,0,90000,1,540,2,0,0,0,0,0,1,6,14600,0,4,4,4,1,1,1,5,0,0,0,0,0,17,0,1,0,0,1,1,2,207,0,0,1,18,0,0,0,0
122587,"H",5,2000,3,13,1000000,999480,50,1,1,1,0,1,2,3,2,200,60,2,2,3,3,0,0,2,400,2,1,1,4,0,0,1,1,0,1,1,1,1,0,10000,1,1,5,0,0,0,0,0,1,6,50000,0,4,4,4,1,1,1,3,0,0,0,0,0,17,0,1,0,0,1,0,1,693,3,0,1,10,0,0,0,0
122710,"H",5,1401,3,13,1000000,999480,116,2,1,1,0,1,3,2,2,0,120,2,2,170,3,200,0,1,990,1,1,1,7,0,0,1,1,90,1,1,1,1,0,115000,2,420,6,1,76700,4,0,0,1,1,76700,0,4,4,4,1,1,1,3,0,2,0,0,0,22,0,1,0,0,0,0,2,1405,2,0,1,29,2,1,1,11583
122711,"H",5,600,3,13,1000000,999480,34,1,1,1,0,1,3,2,2,0,90,2,2,3,9,450,0,2,1100,2,2,1,7,0,0,1,1,0,1,1,1,1,0,80000,1,360,3,0,0,0,0,0,1,6,44000,0,4,4,4,1,1,1,4,0,0,0,0,0,39,0,1,0,0,0,0,1,1412,3,0,1,30,0,0,0,0
122726,"H",5,4200,3,13,1000000,999480,100,1,1,3,6,1,4,2,2,0,150,2,2,3,3,1800,0,0,0,0,3,1,10,0,0,1,1,0,1,1,2,1,0,2e+05,2,700,5,0,0,0,0,0,1,6,30000,0,4,4,4,1,1,1,7,0,0,0,0,0,18,0,1,0,0,1,1,1,458,0,0,0,24,0,0,0,0
122773,"H",5,2600,3,13,1000000,999480,40,2,1,1,0,1,2,2,2,0,160,2,2,3,3,0,0,0,0,0,0,1,4,2,400,1,1,0,1,1,3,1,0,0,3,390,4,1,421000,4,593,2,1,1,421000,0,4,4,4,1,1,1,3,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,2,1,1,0
