"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACR","AGS","BATH","BDSP","BLD","BUS","CONP","ELEP","FS","FULP","GASP","HFL","INSP","MHP","MRGI","MRGP","MRGT","MRGX","REFR","RMSP","RNTM","RNTP","RWAT","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FINCP","FPARC","GRNTP","GRPIP","HHL","HHT","HINCP","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","NR","NRC","OCPIP","PARTNER","PLM","PSF","R18","R60","R65","RESMODE","SMOCP","SMX","SRNT","SVAL","TAXP","WIF","WKEXREL","WORKSTAT","BTUEL"
4738,"H",5,1107,3,13,1000000,999480,48,2,1,1,NA,1,4,2,2,NA,120,2,2,40,1,460,NA,1,1000,1,1,1,6,NA,NA,1,1,NA,1,1,1,1,NA,89000,2,70,8,7,54500,4,NA,NA,1,3,54500,0,4,4,4,1,1,1,3,0,2,0,0,0,26,0,1,0,0,0,0,1,1166,3,0,1,26,2,13,13,46755
4807,"H",5,1600,3,13,1000000,999480,41,3,1,1,NA,1,4,2,2,NA,100,2,2,160,1,600,NA,NA,NA,NA,3,1,8,NA,NA,1,1,NA,1,1,2,1,NA,110000,3,200,4,4,25900,4,NA,NA,1,1,25900,0,4,4,4,1,1,1,7,0,3,0,0,0,17,0,1,0,0,2,2,1,377,NA,0,1,14,1,9,9,46628
4838,"H",5,2000,3,13,1000000,999480,109,1,1,1,NA,1,3,2,2,NA,60,2,2,120,1,620,NA,1,1000,1,1,1,6,NA,NA,1,1,NA,1,1,1,1,NA,160000,1,510,6,NA,NA,NA,NA,NA,1,6,11570,0,4,4,4,1,1,1,3,0,NA,0,0,0,101,0,1,0,0,1,1,1,1223,3,0,1,27,NA,NA,NA,31452
4848,"H",5,2700,3,13,1000000,999480,94,2,1,2,1,1,4,2,2,NA,100,2,2,200,1,250,NA,NA,NA,NA,3,1,11,NA,NA,1,1,NA,1,1,2,1,NA,150000,5,420,4,1,101400,4,NA,NA,1,1,101400,0,4,4,4,1,1,1,6,0,2,0,0,0,6,0,1,0,0,1,0,2,473,NA,0,1,26,2,1,1,33823
5047,"H",5,4200,3,13,1000000,999480,67,4,1,2,1,1,3,2,2,NA,140,2,2,3,3,1300,NA,1,1300,1,1,1,6,NA,NA,1,1,NA,1,1,1,1,NA,250000,1,30,3,1,135000,2,NA,NA,1,1,135000,0,2,2,2,1,1,1,3,2,4,0,0,2,13,0,1,0,1,0,0,1,1443,3,0,1,29,2,1,1,50986
5171,"H",5,1203,3,13,1000000,999480,59,2,1,NA,NA,1,2,9,NA,NA,150,2,480,3,3,NA,NA,NA,NA,NA,NA,1,3,2,910,1,1,NA,1,1,3,1,NA,NA,2,360,8,NA,NA,NA,1130,101,1,7,12600,0,4,4,4,1,1,1,2,0,NA,0,1,0,NA,0,1,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,57240
5253,"H",5,3500,3,13,1000000,999480,24,3,1,1,NA,1,3,2,2,NA,160,2,2,3,3,690,NA,1,1600,1,1,1,6,NA,NA,1,1,NA,1,1,1,1,NA,230000,2,600,10,2,65000,2,NA,NA,2,1,65000,0,1,1,1,1,1,1,3,1,3,0,0,1,33,0,1,0,1,0,0,1,1810,3,0,1,36,1,3,3,58806
5336,"H",5,3000,3,13,1000000,999480,58,1,1,1,NA,1,2,2,2,NA,20,1,2,60,1,NA,NA,NA,NA,NA,NA,1,6,2,180,1,1,NA,1,1,3,1,NA,NA,0,320,3,NA,NA,NA,287,101,1,6,1100,0,4,4,4,1,1,1,1,0,NA,0,0,0,NA,0,1,0,0,1,0,1,NA,NA,1,0,NA,NA,NA,NA,7094
5388,"H",5,1700,3,13,1000000,999480,147,2,1,1,NA,1,3,2,2,NA,130,2,2,250,1,650,NA,1,1600,1,1,1,8,NA,NA,1,1,NA,1,1,1,1,NA,175000,2,720,8,2,61800,4,NA,NA,1,1,61800,0,4,4,4,1,1,1,4,0,2,0,0,0,40,0,1,0,0,1,0,2,2040,3,0,1,40,1,7,3,50491
5479,"H",5,1800,3,13,1000000,999480,169,1,1,NA,NA,1,2,7,NA,NA,80,2,2,3,3,NA,NA,NA,NA,NA,NA,1,4,2,850,1,1,NA,1,1,3,1,NA,NA,1,1,8,NA,NA,NA,930,11,1,4,104000,0,4,4,4,1,1,1,2,0,NA,0,0,0,NA,0,1,0,0,1,0,2,NA,NA,1,0,NA,NA,NA,NA,33601
5500,"H",5,1106,3,13,1000000,999480,84,2,1,1,NA,1,2,2,2,NA,120,1,2,260,1,NA,NA,NA,NA,NA,NA,1,5,2,1000,1,1,NA,1,2,3,1,NA,NA,0,960,3,8,10000,2,1460,101,1,3,10000,0,2,2,2,1,1,1,3,1,2,0,0,1,NA,0,1,0,1,0,0,1,NA,NA,1,0,NA,0,15,15,42592
5522,"H",5,100,3,13,1000000,999480,74,1,1,1,NA,1,3,2,2,NA,240,2,2,3,3,770,NA,NA,NA,NA,3,1,6,NA,NA,1,1,NA,1,1,2,1,NA,116000,2,270,4,NA,NA,NA,NA,NA,1,6,58280,0,4,4,4,1,1,1,7,0,NA,0,0,0,7,0,1,0,0,1,1,1,351,NA,0,1,7,NA,NA,NA,73464
5567,"H",5,2600,3,13,1000000,999480,29,3,1,2,1,1,3,2,2,NA,220,2,300,3,3,600,NA,1,790,1,1,1,8,NA,NA,1,1,NA,1,1,1,1,NA,200000,2,600,3,7,61200,2,NA,NA,1,3,61200,0,2,2,2,1,1,1,4,2,3,0,0,2,21,0,1,0,1,0,0,1,1085,3,0,1,13,1,13,13,57008
5610,"H",5,2700,3,13,1000000,999480,78,3,1,2,1,1,5,2,2,NA,280,2,2,40,3,800,NA,1,2100,1,1,1,10,NA,NA,1,1,310,1,1,1,1,NA,500000,3,530,7,1,135000,4,NA,NA,1,1,135000,0,4,4,4,1,1,1,4,0,3,0,0,0,25,0,1,0,0,1,1,1,2774,2,0,1,47,2,1,1,109880
5632,"H",5,1900,3,13,1000000,999480,60,1,1,1,NA,1,3,3,2,110,100,2,2,3,3,480,NA,1,900,1,1,1,5,NA,NA,1,1,NA,1,1,1,1,NA,129000,1,240,9,NA,NA,NA,NA,NA,1,6,30700,0,4,4,4,1,1,1,3,0,NA,0,0,0,44,0,1,0,0,0,0,1,1130,3,0,1,26,NA,NA,NA,31486
